,CGA,students
1161,2.498,51163665
1162,1.887,51164014
1163,2.56,51164390
1164,2.29,51164928
1165,2.276,51166082
1166,1.556,51166253
1167,3.19,51166671
1168,3.616,51167336
1169,3.656,51169932
1170,2.825,51170090
1171,2.697,51170207
1172,3.047,51171675
1173,2.212,51172629
1174,3.954,51173572
1175,3.545,51176592
1176,3.82,51177140
1177,3.741,51179003
1178,3.021,51181117
1179,3.028,51181527
1180,2.888,51183050
1181,2.792,51183228
1182,2.294,51186016
1183,2.339,51190559
1184,3.649,51191007
1185,2.924,51191671
1186,2.953,51192464
1187,2.128,51192678
1188,2.848,51193215
1189,3.963,51194333
1190,2.203,51194366
1191,3.796,51194824
1192,2.201,51195508
1193,1.712,51196029
1194,2.219,51196526
1195,2.036,51196636
1196,1.237,51197244
1197,4.044,51197889
1198,3.885,51198201
1199,4.041,51198988
1200,2.569,51199759
1201,2.951,51201240
1202,3.145,51201388
1203,4.075,51201610
1204,2.928,51201818
1205,3.79,51201978
1206,4.093,51203325
1207,2.622,51203438
1208,3.539,51203551
1209,3.966,51204151
1210,3.427,51204298
1211,3.143,51204978
1212,3.9,51205214
1213,3.059,51208075
1214,2.215,51208849
1215,1.887,51210659
1216,2.318,51211487
1217,2.689,51214052
1218,3.131,51214778
1219,3.139,51217164
1220,3.553,51217487
1221,3.745,51220028
1222,2.479,51221088
1223,2.44,51222573
1224,2.902,51222659
1225,2.176,51223070
1226,3.267,51223078
1227,2.167,51223118
1228,3.036,51223829
1229,3.114,51225755
1230,3.177,51227114
1231,2.982,51227320
1232,3.402,51227950
1233,2.259,51228502
1234,3.756,51228657
1235,2.986,51229768
1236,3.869,51230998
1237,3.187,51231814
1238,2.886,51232155
1239,3.419,51232425
1240,1.914,51232819
1241,1.956,51233770
1242,3.234,51233855
1243,3.194,51234129
1244,3.874,51234749
1245,2.436,51235866
1246,1.873,51235869
1247,2.872,51238248
1248,3.235,51243397
1249,2.922,51245239
1250,2.299,51245420
1251,2.654,51245851
1252,3.461,51247836
1253,3.0,51250021
1254,3.12,51251106
1255,4.079,51252103
1256,4.027,51252488
1257,3.07,51252612
1258,1.898,51252639
1259,3.527,51253698
1260,3.087,51253739
1261,1.66,51254476
1262,2.938,51254528
1263,3.906,51256060
1264,3.378,51256373
1265,2.926,51256725
1266,3.222,51256861
1267,2.886,51258205
1268,1.029,51258544
1269,2.923,51258694
1270,3.561,51259858
1271,3.941,51262138
1272,3.27,51262801
1273,2.954,51263023
1274,3.607,51264157
1275,2.903,51264610
1276,2.292,51265401
1277,2.729,51266207
1278,3.454,51266376
1279,2.628,51266434
1280,2.842,51270516
1281,2.091,51271083
1282,2.276,51271651
1283,3.005,51271865
1284,1.679,51272301
1285,2.592,51272338
1286,3.318,51274156
1287,3.574,51274480
1288,2.84,51275004
1289,3.087,51276169
1290,2.319,51276841
1291,3.685,51277358
1292,2.145,51277387
1293,3.13,51278408
1294,2.223,51279967
1295,3.2,51282066
1296,3.039,51282508
1297,3.889,51283045
1298,2.664,51284374
1299,2.454,51285704
1300,2.886,51285884
1301,3.342,51286087
1302,3.146,51287248
1303,2.853,51287585
1304,3.167,51287833
1305,3.577,51288059
1306,3.536,51288197
1307,2.838,51289242
1308,3.619,51289488
1309,2.059,51289928
1310,2.179,51291080
1311,2.735,51291405
1312,3.208,51292119
1313,3.532,51293458
1314,2.366,51297885
1315,3.069,51299025
1316,1.867,51299420
1317,3.198,51299980
1318,3.508,51301516
1319,2.083,51302608
1320,3.205,51304026
1321,1.792,51304227
1322,3.772,51306616
1323,3.076,51307065
1324,2.758,51308167
1325,2.352,51310091
1326,2.364,51312606
1327,3.03,51313477
1328,3.506,51317422
1329,2.492,51317556
1330,2.867,51317958
1331,2.107,51319985
1332,2.668,51322992
1333,2.141,51324933
1334,2.683,51325128
1335,3.849,51325329
1336,3.79,51325903
1337,1.67,51327027
1338,2.531,51327487
1339,3.531,51327517
1340,2.595,51330244
1341,2.668,51331044
1342,2.063,51333008
1343,2.733,51333621
1344,2.197,51334287
1345,2.3,51334309
1346,3.958,51334335
1347,3.358,51335118
1348,2.561,51337576
1349,3.046,51338417
1350,3.583,51338583
1351,3.764,51342118
1352,2.86,51342850
1353,3.497,51344473
1354,2.587,51345721
1355,3.647,51349683
1356,3.707,51350256
1357,3.526,51350558
1358,2.858,51353773
1359,3.167,51353878
